SERIES_CODE,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,CATEGORY,YEAR,VALUE
IND.ODCORP_A_IL_ACO_NRES_ODCS.USD.A,India,"Assets, International Liquidity, Claims on Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2017,24935.28499
IND.ODCORP_A_ACO_S13M1_ODCS.XDC.A,India,"Assets, Claims on State and Local Governments (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2017,8309683.443
IND.ODCORP_L_F51KOE_ODCS.XDC.A,India,"Liabilities, Shares and other Equity (ODCS)",Domestic currency,Annual,Millions,Capital & Equity,2017,12466620.63
IND.ODCORP_A_ACO_S1_Z_ODCS.XDC.A,India,"Assets, Claims on Other sectors (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2017,102717299.0
IND.ODCORP_L_F6_ODCS.XDC.A,India,"Liabilities, Insurance Technical Reserves (ODCS)",Domestic currency,Annual,Millions,Insurance Technical Reserves,2017,0.0
IND.ODCORP_A_ACO_NRES_ODCS.XDC.A,India,"Assets, Claims on Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2017,1594045.444
IND.ODCORP_A_F21_ACO_S121_ODCS.XDC.A,India,"Assets, Currency, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2017,809409.3047
IND.ODCORP_A_OCO_S121_ODCS.XDC.A,India,"Assets, Other claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2017,867863.773
IND.ODCORP_L_LT_NRES_ODCS.XDC.A,India,"Liabilities, Liabilities to Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2017,0.0
IND.ODCORP_NETAL_NCO_S1311MIXED_ODCS.XDC.A,India,"Net (assets less liabilities), Net Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2017,27878922.5
IND.ODCORP_NETAL_NFRA_ODCS.XDC.A,India,"Net (assets less liabilities), Net foreign assets (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2017,1594045.444
IND.ODCORP_L_F29_IBM_ODCS.XDC.A,India,"Liabilities, Other Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2017,103223565.3
IND.ODCORP_L_F2M_XBM_ODCS.XDC.A,India,"Liabilities, Deposits, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2017,0.0
IND.ODCORP_A_ACO_S11001_ODCS.XDC.A,India,"Assets, Claims on Public non-financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2017,22774329.45
IND.ODCORP_L_F3_XBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2017,0.0
IND.ODCORP_L_LT_S121_ODCS.XDC.A,India,"Liabilities, Liabilities to Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2017,1265238.609
IND.ODCORP_L_F71_ODCS.XDC.A,India,"Liabilities, Financial Derivatives (ODCS)",Domestic currency,Annual,Millions,Financial Derivatives,2017,0.0
IND.ODCORP_L_IL_LT_NRES_ODCS.USD.A,India,"Liabilities, International Liquidity, Liabilities to Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2017,0.0
IND.ODCORP_L_F4_ODCS.XDC.A,India,"Liabilities, Loans (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2017,3219254.718
IND.ODCORP_L_LT_S1311MIXED_ODCS.XDC.A,India,"Liabilities, Liabilities to Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2017,0.0
IND.ODCORP_L_F3_IBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2017,0.0
IND.ODCORP_L_F22_IBM_ODCS.XDC.A,India,"Liabilities, Transferable Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2017,12470101.11
IND.ODCORP_NETAL_OIN_ASEC_ODCS.XDC.A,India,"Net (assets less liabilities), Other items (Net), All sectors (ODCS)",Domestic currency,Annual,Millions,Other Balance Sheet Items,2017,6013349.687
IND.ODCORP_A_T_ASEC_ODC2SR.XDC.A,India,"Assets, Total, All sectors (ODC2SR)",Domestic currency,Annual,Millions,Banking Sector Size,2017,149758102.1
IND.ODCORP_A_F2MSOTS_RR_ACO_S121_ODCS.XDC.A,India,"Assets, Deposits and securities other than shares, Required reserves, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2018,5155630.0
IND.ODCORP_A_ACO_PS_ODCS.XDC.A,India,"Assets, Claims on Private sector (ODCS)",Domestic currency,Annual,Millions,Private Sector Exposure,2018,73515033.34
IND.ODCORP_A_ACO_S1311MIXED_ODCS.XDC.A,India,"Assets, Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2018,27680752.55
IND.ODCORP_A_ACO_S121_ODCS.XDC.A,India,"Assets, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2018,6224050.194
IND.ODCORP_A_ACO_S12R_ODCS.XDC.A,India,"Assets, Claims on Other financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2018,8932280.165
IND.ODCORP_A_IL_ACO_NRES_ODCS.USD.A,India,"Assets, International Liquidity, Claims on Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2018,21539.78341
IND.ODCORP_A_ACO_S13M1_ODCS.XDC.A,India,"Assets, Claims on State and Local Governments (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2018,8746481.068
IND.ODCORP_L_F51KOE_ODCS.XDC.A,India,"Liabilities, Shares and other Equity (ODCS)",Domestic currency,Annual,Millions,Capital & Equity,2018,14048275.06
IND.ODCORP_A_ACO_S1_Z_ODCS.XDC.A,India,"Assets, Claims on Other sectors (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2018,116463807.0
IND.ODCORP_L_F6_ODCS.XDC.A,India,"Liabilities, Insurance Technical Reserves (ODCS)",Domestic currency,Annual,Millions,Insurance Technical Reserves,2018,0.0
IND.ODCORP_A_ACO_NRES_ODCS.XDC.A,India,"Assets, Claims on Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2018,1503311.026
IND.ODCORP_A_F21_ACO_S121_ODCS.XDC.A,India,"Assets, Currency, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2018,789739.4404
IND.ODCORP_A_OCO_S121_ODCS.XDC.A,India,"Assets, Other claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2018,278680.754
IND.ODCORP_L_LT_NRES_ODCS.XDC.A,India,"Liabilities, Liabilities to Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2018,0.0
IND.ODCORP_NETAL_NCO_S1311MIXED_ODCS.XDC.A,India,"Net (assets less liabilities), Net Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2018,27680752.55
IND.ODCORP_NETAL_NFRA_ODCS.XDC.A,India,"Net (assets less liabilities), Net foreign assets (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2018,1503311.026
IND.ODCORP_L_F29_IBM_ODCS.XDC.A,India,"Liabilities, Other Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2018,112710269.2
IND.ODCORP_L_F2M_XBM_ODCS.XDC.A,India,"Liabilities, Deposits, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2018,0.0
IND.ODCORP_A_ACO_S11001_ODCS.XDC.A,India,"Assets, Claims on Public non-financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2018,25270012.38
