SERIES_CODE,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,CATEGORY,YEAR,VALUE
IND.ODCORP_A_ACO_S13M1_ODCS.XDC.A,India,"Assets, Claims on State and Local Governments (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2021,14184242.66
IND.ODCORP_L_F51KOE_ODCS.XDC.A,India,"Liabilities, Shares and other Equity (ODCS)",Domestic currency,Annual,Millions,Capital & Equity,2021,16670191.16
IND.ODCORP_A_ACO_S1_Z_ODCS.XDC.A,India,"Assets, Claims on Other sectors (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2021,147445648.3
IND.ODCORP_L_F6_ODCS.XDC.A,India,"Liabilities, Insurance Technical Reserves (ODCS)",Domestic currency,Annual,Millions,Insurance Technical Reserves,2021,0.0
IND.ODCORP_A_ACO_NRES_ODCS.XDC.A,India,"Assets, Claims on Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2021,3021239.152
IND.ODCORP_A_F21_ACO_S121_ODCS.XDC.A,India,"Assets, Currency, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2021,1057861.417
IND.ODCORP_A_OCO_S121_ODCS.XDC.A,India,"Assets, Other claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2021,8102860.75
IND.ODCORP_L_LT_NRES_ODCS.XDC.A,India,"Liabilities, Liabilities to Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2021,0.0
IND.ODCORP_NETAL_NCO_S1311MIXED_ODCS.XDC.A,India,"Net (assets less liabilities), Net Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2021,36172107.22
IND.ODCORP_NETAL_NFRA_ODCS.XDC.A,India,"Net (assets less liabilities), Net foreign assets (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2021,3021239.152
IND.ODCORP_L_F29_IBM_ODCS.XDC.A,India,"Liabilities, Other Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2021,149758234.0
IND.ODCORP_L_F2M_XBM_ODCS.XDC.A,India,"Liabilities, Deposits, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2021,0.0
IND.ODCORP_A_ACO_S11001_ODCS.XDC.A,India,"Assets, Claims on Public non-financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2021,32267544.5
IND.ODCORP_L_F3_XBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2021,0.0
IND.ODCORP_L_LT_S121_ODCS.XDC.A,India,"Liabilities, Liabilities to Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2021,1074755.146
IND.ODCORP_L_F71_ODCS.XDC.A,India,"Liabilities, Financial Derivatives (ODCS)",Domestic currency,Annual,Millions,Financial Derivatives,2021,0.0
IND.ODCORP_L_IL_LT_NRES_ODCS.USD.A,India,"Liabilities, International Liquidity, Liabilities to Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2021,0.0
IND.ODCORP_L_F4_ODCS.XDC.A,India,"Liabilities, Loans (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2021,2699760.5
IND.ODCORP_L_LT_S1311MIXED_ODCS.XDC.A,India,"Liabilities, Liabilities to Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2021,0.0
IND.ODCORP_L_F3_IBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2021,0.0
IND.ODCORP_L_F22_IBM_ODCS.XDC.A,India,"Liabilities, Transferable Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2021,22060524.13
IND.ODCORP_NETAL_OIN_ASEC_ODCS.XDC.A,India,"Net (assets less liabilities), Other items (Net), All sectors (ODCS)",Domestic currency,Annual,Millions,Other Balance Sheet Items,2021,11184536.51
IND.ODCORP_A_T_ASEC_ODC2SR.XDC.A,India,"Assets, Total, All sectors (ODC2SR)",Domestic currency,Annual,Millions,Banking Sector Size,2021,218968550.4
IND.ODCORP_A_F2MSOTS_RR_ACO_S121_ODCS.XDC.A,India,"Assets, Deposits and securities other than shares, Required reserves, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2022,8997771.0
IND.ODCORP_A_ACO_PS_ODCS.XDC.A,India,"Assets, Claims on Private sector (ODCS)",Domestic currency,Annual,Millions,Private Sector Exposure,2022,99732708.52
IND.ODCORP_A_ACO_S1311MIXED_ODCS.XDC.A,India,"Assets, Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2022,40748486.31
IND.ODCORP_A_ACO_S121_ODCS.XDC.A,India,"Assets, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2022,11603222.68
IND.ODCORP_A_ACO_S12R_ODCS.XDC.A,India,"Assets, Claims on Other financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2022,19764161.46
IND.ODCORP_A_IL_ACO_NRES_ODCS.USD.A,India,"Assets, International Liquidity, Claims on Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2022,31442.93429
IND.ODCORP_A_ACO_S13M1_ODCS.XDC.A,India,"Assets, Claims on State and Local Governments (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2022,14291366.48
IND.ODCORP_L_F51KOE_ODCS.XDC.A,India,"Liabilities, Shares and other Equity (ODCS)",Domestic currency,Annual,Millions,Capital & Equity,2022,16648835.35
IND.ODCORP_A_ACO_S1_Z_ODCS.XDC.A,India,"Assets, Claims on Other sectors (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2022,167091634.9
IND.ODCORP_L_F6_ODCS.XDC.A,India,"Liabilities, Insurance Technical Reserves (ODCS)",Domestic currency,Annual,Millions,Insurance Technical Reserves,2022,0.0
IND.ODCORP_A_ACO_NRES_ODCS.XDC.A,India,"Assets, Claims on Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2022,2603041.047
IND.ODCORP_A_F21_ACO_S121_ODCS.XDC.A,India,"Assets, Currency, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2022,1104160.975
IND.ODCORP_A_OCO_S121_ODCS.XDC.A,India,"Assets, Other claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2022,1501290.704
IND.ODCORP_L_LT_NRES_ODCS.XDC.A,India,"Liabilities, Liabilities to Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2022,0.0
IND.ODCORP_NETAL_NCO_S1311MIXED_ODCS.XDC.A,India,"Net (assets less liabilities), Net Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2022,40748486.31
IND.ODCORP_NETAL_NFRA_ODCS.XDC.A,India,"Net (assets less liabilities), Net foreign assets (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2022,2603041.047
IND.ODCORP_L_F29_IBM_ODCS.XDC.A,India,"Liabilities, Other Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2022,163321308.7
IND.ODCORP_L_F2M_XBM_ODCS.XDC.A,India,"Liabilities, Deposits, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2022,0.0
IND.ODCORP_A_ACO_S11001_ODCS.XDC.A,India,"Assets, Claims on Public non-financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2022,33303398.46
IND.ODCORP_L_F3_XBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2022,0.0
IND.ODCORP_L_LT_S121_ODCS.XDC.A,India,"Liabilities, Liabilities to Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2022,1329375.931
IND.ODCORP_L_F71_ODCS.XDC.A,India,"Liabilities, Financial Derivatives (ODCS)",Domestic currency,Annual,Millions,Financial Derivatives,2022,0.0
IND.ODCORP_L_IL_LT_NRES_ODCS.USD.A,India,"Liabilities, International Liquidity, Liabilities to Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2022,0.0
IND.ODCORP_L_F4_ODCS.XDC.A,India,"Liabilities, Loans (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2022,4407437.3
IND.ODCORP_L_LT_S1311MIXED_ODCS.XDC.A,India,"Liabilities, Liabilities to Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2022,0.0
IND.ODCORP_L_F3_IBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2022,0.0
IND.ODCORP_L_F22_IBM_ODCS.XDC.A,India,"Liabilities, Transferable Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2022,23419356.69
IND.ODCORP_NETAL_OIN_ASEC_ODCS.XDC.A,India,"Net (assets less liabilities), Other items (Net), All sectors (ODCS)",Domestic currency,Annual,Millions,Other Balance Sheet Items,2022,12920071.0
IND.ODCORP_A_T_ASEC_ODC2SR.XDC.A,India,"Assets, Total, All sectors (ODC2SR)",Domestic currency,Annual,Millions,Banking Sector Size,2022,241167574.1
IND.ODCORP_A_F2MSOTS_RR_ACO_S121_ODCS.XDC.A,India,"Assets, Deposits and securities other than shares, Required reserves, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2023,10012806.9
IND.ODCORP_A_ACO_PS_ODCS.XDC.A,India,"Assets, Claims on Private sector (ODCS)",Domestic currency,Annual,Millions,Private Sector Exposure,2023,118527018.7
IND.ODCORP_A_ACO_S1311MIXED_ODCS.XDC.A,India,"Assets, Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2023,47197868.86
IND.ODCORP_A_ACO_S121_ODCS.XDC.A,India,"Assets, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2023,11991003.63
IND.ODCORP_A_ACO_S12R_ODCS.XDC.A,India,"Assets, Claims on Other financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2023,18907322.16
IND.ODCORP_A_IL_ACO_NRES_ODCS.USD.A,India,"Assets, International Liquidity, Claims on Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2023,36323.75256
IND.ODCORP_A_ACO_S13M1_ODCS.XDC.A,India,"Assets, Claims on State and Local Governments (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2023,16819384.16
IND.ODCORP_L_F51KOE_ODCS.XDC.A,India,"Liabilities, Shares and other Equity (ODCS)",Domestic currency,Annual,Millions,Capital & Equity,2023,46201456.02
IND.ODCORP_A_ACO_S1_Z_ODCS.XDC.A,India,"Assets, Claims on Other sectors (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2023,192942796.1
IND.ODCORP_L_F6_ODCS.XDC.A,India,"Liabilities, Insurance Technical Reserves (ODCS)",Domestic currency,Annual,Millions,Insurance Technical Reserves,2023,0.0
IND.ODCORP_A_ACO_NRES_ODCS.XDC.A,India,"Assets, Claims on Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2023,3019099.547
IND.ODCORP_A_F21_ACO_S121_ODCS.XDC.A,India,"Assets, Currency, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2023,1068806.025
IND.ODCORP_A_OCO_S121_ODCS.XDC.A,India,"Assets, Other claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2023,909390.704
IND.ODCORP_L_LT_NRES_ODCS.XDC.A,India,"Liabilities, Liabilities to Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2023,0.0
IND.ODCORP_NETAL_NCO_S1311MIXED_ODCS.XDC.A,India,"Net (assets less liabilities), Net Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2023,47197868.86
IND.ODCORP_NETAL_NFRA_ODCS.XDC.A,India,"Net (assets less liabilities), Net foreign assets (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2023,3019099.547
IND.ODCORP_L_F29_IBM_ODCS.XDC.A,India,"Liabilities, Other Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2023,184596221.6
IND.ODCORP_L_F2M_XBM_ODCS.XDC.A,India,"Liabilities, Deposits, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2023,0.0
IND.ODCORP_A_ACO_S11001_ODCS.XDC.A,India,"Assets, Claims on Public non-financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2023,38689071.12
IND.ODCORP_L_F3_XBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2023,0.0
IND.ODCORP_L_LT_S121_ODCS.XDC.A,India,"Liabilities, Liabilities to Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2023,2761907.714
IND.ODCORP_L_F71_ODCS.XDC.A,India,"Liabilities, Financial Derivatives (ODCS)",Domestic currency,Annual,Millions,Financial Derivatives,2023,0.0
IND.ODCORP_L_IL_LT_NRES_ODCS.USD.A,India,"Liabilities, International Liquidity, Liabilities to Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2023,0.0
IND.ODCORP_L_F4_ODCS.XDC.A,India,"Liabilities, Loans (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2023,7635839.7
IND.ODCORP_L_LT_S1311MIXED_ODCS.XDC.A,India,"Liabilities, Liabilities to Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2023,0.0
IND.ODCORP_L_F3_IBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2023,0.0
IND.ODCORP_L_F22_IBM_ODCS.XDC.A,India,"Liabilities, Transferable Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2023,25804895.18
IND.ODCORP_NETAL_OIN_ASEC_ODCS.XDC.A,India,"Net (assets less liabilities), Other items (Net), All sectors (ODCS)",Domestic currency,Annual,Millions,Other Balance Sheet Items,2023,-11849552.08
IND.ODCORP_A_T_ASEC_ODC2SR.XDC.A,India,"Assets, Total, All sectors (ODC2SR)",Domestic currency,Annual,Millions,Banking Sector Size,2023,284156322.3
IND.ODCORP_A_F2MSOTS_RR_ACO_S121_ODCS.XDC.A,India,"Assets, Deposits and securities other than shares, Required reserves, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2024,10002595.3
IND.ODCORP_A_ACO_PS_ODCS.XDC.A,India,"Assets, Claims on Private sector (ODCS)",Domestic currency,Annual,Millions,Private Sector Exposure,2024,132343752.3
IND.ODCORP_A_ACO_S1311MIXED_ODCS.XDC.A,India,"Assets, Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2024,51647494.12
IND.ODCORP_A_ACO_S121_ODCS.XDC.A,India,"Assets, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2024,11656594.32
IND.ODCORP_A_ACO_S12R_ODCS.XDC.A,India,"Assets, Claims on Other financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2024,19747613.79
IND.ODCORP_A_IL_ACO_NRES_ODCS.USD.A,India,"Assets, International Liquidity, Claims on Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2024,55967.3038
IND.ODCORP_A_ACO_S13M1_ODCS.XDC.A,India,"Assets, Claims on State and Local Governments (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2024,18442451.27
IND.ODCORP_L_F51KOE_ODCS.XDC.A,India,"Liabilities, Shares and other Equity (ODCS)",Domestic currency,Annual,Millions,Capital & Equity,2024,67204736.2
IND.ODCORP_A_ACO_S1_Z_ODCS.XDC.A,India,"Assets, Claims on Other sectors (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2024,213672715.9
IND.ODCORP_L_F6_ODCS.XDC.A,India,"Liabilities, Insurance Technical Reserves (ODCS)",Domestic currency,Annual,Millions,Insurance Technical Reserves,2024,0.0
IND.ODCORP_A_ACO_NRES_ODCS.XDC.A,India,"Assets, Claims on Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2024,4792099.647
IND.ODCORP_A_F21_ACO_S121_ODCS.XDC.A,India,"Assets, Currency, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2024,1012248.319
IND.ODCORP_A_OCO_S121_ODCS.XDC.A,India,"Assets, Other claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2024,641750.704
IND.ODCORP_L_LT_NRES_ODCS.XDC.A,India,"Liabilities, Liabilities to Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2024,0.0
IND.ODCORP_NETAL_NCO_S1311MIXED_ODCS.XDC.A,India,"Net (assets less liabilities), Net Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2024,51647494.12
IND.ODCORP_NETAL_NFRA_ODCS.XDC.A,India,"Net (assets less liabilities), Net foreign assets (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2024,4792099.647
IND.ODCORP_L_F29_IBM_ODCS.XDC.A,India,"Liabilities, Other Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2024,203071455.4
IND.ODCORP_L_F2M_XBM_ODCS.XDC.A,India,"Liabilities, Deposits, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2024,0.0
IND.ODCORP_A_ACO_S11001_ODCS.XDC.A,India,"Assets, Claims on Public non-financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2024,43138898.56
IND.ODCORP_L_F3_XBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2024,0.0
IND.ODCORP_L_LT_S121_ODCS.XDC.A,India,"Liabilities, Liabilities to Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2024,2447070.0
IND.ODCORP_L_F71_ODCS.XDC.A,India,"Liabilities, Financial Derivatives (ODCS)",Domestic currency,Annual,Millions,Financial Derivatives,2024,0.0
IND.ODCORP_L_IL_LT_NRES_ODCS.USD.A,India,"Liabilities, International Liquidity, Liabilities to Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2024,0.0
IND.ODCORP_L_F4_ODCS.XDC.A,India,"Liabilities, Loans (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2024,9597746.736
IND.ODCORP_L_LT_S1311MIXED_ODCS.XDC.A,India,"Liabilities, Liabilities to Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2024,0.0
IND.ODCORP_L_F3_IBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2024,0.0
IND.ODCORP_L_F22_IBM_ODCS.XDC.A,India,"Liabilities, Transferable Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2024,27107128.2
IND.ODCORP_NETAL_OIN_ASEC_ODCS.XDC.A,India,"Net (assets less liabilities), Other items (Net), All sectors (ODCS)",Domestic currency,Annual,Millions,Other Balance Sheet Items,2024,-27659232.53
IND.ODCORP_A_T_ASEC_ODC2SR.XDC.A,India,"Assets, Total, All sectors (ODC2SR)",Domestic currency,Annual,Millions,Banking Sector Size,2024,326455130.2
IND.ODCORP_A_F2MSOTS_RR_ACO_S121_ODCS.XDC.A,India,"Assets, Deposits and securities other than shares, Required reserves, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2025,7606143.6
IND.ODCORP_A_ACO_PS_ODCS.XDC.A,India,"Assets, Claims on Private sector (ODCS)",Domestic currency,Annual,Millions,Private Sector Exposure,2025,152094169.9
IND.ODCORP_A_ACO_S1311MIXED_ODCS.XDC.A,India,"Assets, Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2025,53881553.04
IND.ODCORP_A_ACO_S121_ODCS.XDC.A,India,"Assets, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2025,10625894.3
IND.ODCORP_A_ACO_S12R_ODCS.XDC.A,India,"Assets, Claims on Other financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2025,22332437.22
IND.ODCORP_A_IL_ACO_NRES_ODCS.USD.A,India,"Assets, International Liquidity, Claims on Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2025,78157.4208
IND.ODCORP_A_ACO_S13M1_ODCS.XDC.A,India,"Assets, Claims on State and Local Governments (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2025,19257357.55
IND.ODCORP_L_F51KOE_ODCS.XDC.A,India,"Liabilities, Shares and other Equity (ODCS)",Domestic currency,Annual,Millions,Capital & Equity,2025,77265542.52
IND.ODCORP_A_ACO_S1_Z_ODCS.XDC.A,India,"Assets, Claims on Other sectors (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2025,243230936.7
IND.ODCORP_L_F6_ODCS.XDC.A,India,"Liabilities, Insurance Technical Reserves (ODCS)",Domestic currency,Annual,Millions,Insurance Technical Reserves,2025,0.0
IND.ODCORP_A_ACO_NRES_ODCS.XDC.A,India,"Assets, Claims on Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2025,7027899.647
IND.ODCORP_A_F21_ACO_S121_ODCS.XDC.A,India,"Assets, Currency, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2025,951619.9946
IND.ODCORP_A_OCO_S121_ODCS.XDC.A,India,"Assets, Other claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2025,2068130.704
IND.ODCORP_L_LT_NRES_ODCS.XDC.A,India,"Liabilities, Liabilities to Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2025,0.0
IND.ODCORP_NETAL_NCO_S1311MIXED_ODCS.XDC.A,India,"Net (assets less liabilities), Net Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2025,53881553.04
IND.ODCORP_NETAL_NFRA_ODCS.XDC.A,India,"Net (assets less liabilities), Net foreign assets (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2025,7027899.647
IND.ODCORP_L_F29_IBM_ODCS.XDC.A,India,"Liabilities, Other Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2025,224325272.7
IND.ODCORP_L_F2M_XBM_ODCS.XDC.A,India,"Liabilities, Deposits, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2025,0.0
IND.ODCORP_A_ACO_S11001_ODCS.XDC.A,India,"Assets, Claims on Public non-financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2025,49546972.09
IND.ODCORP_L_F3_XBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2025,0.0
IND.ODCORP_L_LT_S121_ODCS.XDC.A,India,"Liabilities, Liabilities to Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2025,1691840.0
IND.ODCORP_L_F71_ODCS.XDC.A,India,"Liabilities, Financial Derivatives (ODCS)",Domestic currency,Annual,Millions,Financial Derivatives,2025,0.0
IND.ODCORP_L_IL_LT_NRES_ODCS.USD.A,India,"Liabilities, International Liquidity, Liabilities to Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2025,0.0
IND.ODCORP_L_F4_ODCS.XDC.A,India,"Liabilities, Loans (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2025,8307841.112
IND.ODCORP_L_LT_S1311MIXED_ODCS.XDC.A,India,"Liabilities, Liabilities to Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2025,0.0
IND.ODCORP_L_F3_IBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2025,0.0
IND.ODCORP_L_F22_IBM_ODCS.XDC.A,India,"Liabilities, Transferable Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2025,34226575.56
IND.ODCORP_NETAL_OIN_ASEC_ODCS.XDC.A,India,"Net (assets less liabilities), Other items (Net), All sectors (ODCS)",Domestic currency,Annual,Millions,Other Balance Sheet Items,2025,-33096258.2
IND.ODCORP_A_T_ASEC_ODC2SR.XDC.A,India,"Assets, Total, All sectors (ODC2SR)",Domestic currency,Annual,Millions,Banking Sector Size,2025,363903842.6
