DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,DECIMALS_DISPLAYED,SECTOR,MFS_COLTN,COUNTERPART_SECTOR,MFS_INSTRL,MFS_RA,MFS_AGGREGATES,ACCOUNTING_ENTRY,CURRENCY,CURRENCY_DENOMINATION,VALUATION,MFS_SRF,MFS_COMPONENT,EXRATE,TRANSFORMATION,UNIT,OVERLAP,MFS_EAWR,IFS_FLAG,DOI,FULL_DESCRIPTION,AUTHOR,PUBLISHER,DEPARTMENT,CONTACT_POINT,TOPIC,TOPIC_DATASET,KEYWORDS,KEYWORDS_DATASET,LANGUAGE,PUBLICATION_DATE,UPDATE_DATE,METHODOLOGY,METHODOLOGY_NOTES,ACCESS_SHARING_LEVEL,ACCESS_SHARING_NOTES,SECURITY_CLASSIFICATION,SHORT_SOURCE_CITATION,FULL_SOURCE_CITATION,LICENSE,SUGGESTED_CITATION,KEY_INDICATOR,SERIES_NAME,1997,1997-Q1,1997-M01,1997-M02,1997-M03,1997-Q2,1997-M04,1997-M05,1997-M06,1997-Q3,1997-M07,1997-M08,1997-M09,1997-Q4,1997-M10,1997-M11,1997-M12,1998,1998-Q1,1998-M01,1998-M02,1998-M03,1998-Q2,1998-M04,1998-M05,1998-M06,1998-Q3,1998-M07,1998-M08,1998-M09,1998-Q4,1998-M10,1998-M11,1998-M12,1999,1999-Q1,1999-M01,1999-M02,1999-M03,1999-Q2,1999-M04,1999-M05,1999-M06,1999-Q3,1999-M07,1999-M08,1999-M09,1999-Q4,1999-M10,1999-M11,1999-M12,2000,2000-Q1,2000-M01,2000-M02,2000-M03,2000-Q2,2000-M04,2000-M05,2000-M06,2000-Q3,2000-M07,2000-M08,2000-M09,2000-Q4,2000-M10,2000-M11,2000-M12,2001,2001-Q1,2001-M01,2001-M02,2001-M03,2001-Q2,2001-M04,2001-M05,2001-M06,2001-Q3,2001-M07,2001-M08,2001-M09,2001-Q4,2001-M10,2001-M11,2001-M12,2002,2002-Q1,2002-M01,2002-M02,2002-M03,2002-Q2,2002-M04,2002-M05,2002-M06,2002-Q3,2002-M07,2002-M08,2002-M09,2002-Q4,2002-M10,2002-M11,2002-M12,2003,2003-Q1,2003-M01,2003-M02,2003-M03,2003-Q2,2003-M04,2003-M05,2003-M06,2003-Q3,2003-M07,2003-M08,2003-M09,2003-Q4,2003-M10,2003-M11,2003-M12,2004,2004-Q1,2004-M01,2004-M02,2004-M03,2004-Q2,2004-M04,2004-M05,2004-M06,2004-Q3,2004-M07,2004-M08,2004-M09,2004-Q4,2004-M10,2004-M11,2004-M12,2005,2005-Q1,2005-M01,2005-M02,2005-M03,2005-Q2,2005-M04,2005-M05,2005-M06,2005-Q3,2005-M07,2005-M08,2005-M09,2005-Q4,2005-M10,2005-M11,2005-M12,2006,2006-Q1,2006-M01,2006-M02,2006-M03,2006-Q2,2006-M04,2006-M05,2006-M06,2006-Q3,2006-M07,2006-M08,2006-M09,2006-Q4,2006-M10,2006-M11,2006-M12,2007,2007-Q1,2007-M01,2007-M02,2007-M03,2007-Q2,2007-M04,2007-M05,2007-M06,2007-Q3,2007-M07,2007-M08,2007-M09,2007-Q4,2007-M10,2007-M11,2007-M12,2008,2008-Q1,2008-M01,2008-M02,2008-M03,2008-Q2,2008-M04,2008-M05,2008-M06,2008-Q3,2008-M07,2008-M08,2008-M09,2008-Q4,2008-M10,2008-M11,2008-M12,2009,2009-Q1,2009-M01,2009-M02,2009-M03,2009-Q2,2009-M04,2009-M05,2009-M06,2009-Q3,2009-M07,2009-M08,2009-M09,2009-Q4,2009-M10,2009-M11,2009-M12,2010,2010-Q1,2010-M01,2010-M02,2010-M03,2010-Q2,2010-M04,2010-M05,2010-M06,2010-Q3,2010-M07,2010-M08,2010-M09,2010-Q4,2010-M10,2010-M11,2010-M12,2011,2011-Q1,2011-M01,2011-M02,2011-M03,2011-Q2,2011-M04,2011-M05,2011-M06,2011-Q3,2011-M07,2011-M08,2011-M09,2011-Q4,2011-M10,2011-M11,2011-M12,2012,2012-Q1,2012-M01,2012-M02,2012-M03,2012-Q2,2012-M04,2012-M05,2012-M06,2012-Q3,2012-M07,2012-M08,2012-M09,2012-Q4,2012-M10,2012-M11,2012-M12,2013,2013-Q1,2013-M01,2013-M02,2013-M03,2013-Q2,2013-M04,2013-M05,2013-M06,2013-Q3,2013-M07,2013-M08,2013-M09,2013-Q4,2013-M10,2013-M11,2013-M12,2014,2014-Q1,2014-M01,2014-M02,2014-M03,2014-Q2,2014-M04,2014-M05,2014-M06,2014-Q3,2014-M07,2014-M08,2014-M09,2014-Q4,2014-M10,2014-M11,2014-M12,2015,2015-Q1,2015-M01,2015-M02,2015-M03,2015-Q2,2015-M04,2015-M05,2015-M06,2015-Q3,2015-M07,2015-M08,2015-M09,2015-Q4,2015-M10,2015-M11,2015-M12,2016,2016-Q1,2016-M01,2016-M02,2016-M03,2016-Q2,2016-M04,2016-M05,2016-M06,2016-Q3,2016-M07,2016-M08,2016-M09,2016-Q4,2016-M10,2016-M11,2016-M12,2017,2017-Q1,2017-M01,2017-M02,2017-M03,2017-Q2,2017-M04,2017-M05,2017-M06,2017-Q3,2017-M07,2017-M08,2017-M09,2017-Q4,2017-M10,2017-M11,2017-M12,2018,2018-Q1,2018-M01,2018-M02,2018-M03,2018-Q2,2018-M04,2018-M05,2018-M06,2018-Q3,2018-M07,2018-M08,2018-M09,2018-Q4,2018-M10,2018-M11,2018-M12,2019,2019-Q1,2019-M01,2019-M02,2019-M03,2019-Q2,2019-M04,2019-M05,2019-M06,2019-Q3,2019-M07,2019-M08,2019-M09,2019-Q4,2019-M10,2019-M11,2019-M12,2020,2020-Q1,2020-M01,2020-M02,2020-M03,2020-Q2,2020-M04,2020-M05,2020-M06,2020-Q3,2020-M07,2020-M08,2020-M09,2020-Q4,2020-M10,2020-M11,2020-M12,2021,2021-Q1,2021-M01,2021-M02,2021-M03,2021-Q2,2021-M04,2021-M05,2021-M06,2021-Q3,2021-M07,2021-M08,2021-M09,2021-Q4,2021-M10,2021-M11,2021-M12,2022,2022-Q1,2022-M01,2022-M02,2022-M03,2022-Q2,2022-M04,2022-M05,2022-M06,2022-Q3,2022-M07,2022-M08,2022-M09,2022-Q4,2022-M10,2022-M11,2022-M12,2023,2023-Q1,2023-M01,2023-M02,2023-M03,2023-Q2,2023-M04,2023-M05,2023-M06,2023-Q3,2023-M07,2023-M08,2023-M09,2023-Q4,2023-M10,2023-M11,2023-M12,2024,2024-Q1,2024-M01,2024-M02,2024-M03,2024-Q2,2024-M04,2024-M05,2024-M06,2024-Q3,2024-M07,2024-M08,2024-M09,2024-Q4,2024-M10,2024-M11,2024-M12,2025,2025-Q1,2025-M01,2025-M02,2025-M03,2025-Q2,2025-M04,2025-M05,2025-M06,2025-Q3,2025-M07,2025-M08,2025-M09,2025-Q4,2025-M10,2025-M11,2025-M12,2026-Q1,2026-M01,2026-M02,2026-M03,2026-Q2,2026-M04,2026-M05,2026-M06
IMF.STA:MFS_ODC(10.0.0),IND.ODCORP_L_F6_ODCS.XDC.Q,OBS_VALUE,India,"Liabilities, Insurance Technical Reserves (ODCS)",Domestic currency,Quarterly,Millions,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,2026-07-31T08:50:53.019918300Z,2026-07-31T08:50:53.117768700Z,,,Public (Unrestricted),,Public or Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,
IMF.STA:MFS_ODC(10.0.0),IND.ODCORP_L_LT_S1311MIXED_ODCS.XDC.Q,OBS_VALUE,India,"Liabilities, Liabilities to Central Government (ODCS)",Domestic currency,Quarterly,Millions,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,2026-07-31T08:50:53.019918300Z,2026-07-31T08:50:53.117768700Z,,,Public (Unrestricted),,Public or Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,
IMF.STA:MFS_ODC(10.0.0),IND.ODCORP_L_F2M_XBM_ODCS.XDC.Q,OBS_VALUE,India,"Liabilities, Deposits, Excluded From Broad Money (ODCS)",Domestic currency,Quarterly,Millions,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,2026-07-31T08:50:53.019918300Z,2026-07-31T08:50:53.117768700Z,,,Public (Unrestricted),,Public or Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,
IMF.STA:MFS_ODC(10.0.0),IND.ODCORP_L_F29_IBM_ODCS.XDC.Q,OBS_VALUE,India,"Liabilities, Other Deposits, Included In Broad Money (ODCS)",Domestic currency,Quarterly,Millions,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,2026-07-31T08:50:53.019918300Z,2026-07-31T08:50:53.117768700Z,,,Public (Unrestricted),,Public or Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100112067.8,,,,,101099831,,,,100574549.7,,,,103112963,,,,103223565.3,,,,,106952552,,,,108141013.2,,,,111312017.7,,,,112710269.2,,,,,117216033,,,,118664683,,,,121677616.6,,,,123744422.1,,,,,126740155.8,,,,131407208.1,,,,134147901.1,,,,136454432.2,,,,,140502784,,,,143446585.5,,,,145758742.5,,,,149758234,,,,,151866045.5,,,,154179708.8,,,,158448561.1,,,,163321308.7,,,,,166689657.1,,,,175212133.2,,,,178914493.7,,,,184596221.6,,,,,188481602.2,,,,195030470,,,,198269703.9,,,,203071455.4,,,,,207025084.2,,,,211837307.8,,,,215221893.1,,,,224325272.7,,,,234106251.5,,,,,,,
IMF.STA:MFS_ODC(10.0.0),IND.ODCORP_L_F4_ODCS.XDC.Q,OBS_VALUE,India,"Liabilities, Loans (ODCS)",Domestic currency,Quarterly,Millions,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,2026-07-31T08:50:53.019918300Z,2026-07-31T08:50:53.117768700Z,,,Public (Unrestricted),,Public or Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3390292,,,,,3163200.299,,,,2909822.232,,,,3089201.093,,,,3219254.718,,,,,3657084.079,,,,3845319.563,,,,3750261.601,,,,3574968.984,,,,,3782536.002,,,,3571372.817,,,,3410284.957,,,,3190007.259,,,,,3094386.781,,,,2868689.5,,,,2562165.5,,,,2515448.6,,,,,2440249.5,,,,2490798.8,,,,2458980.5,,,,2699760.5,,,,,2745941.8,,,,3713414.9,,,,5318785.4,,,,4407437.3,,,,,4453290.8,,,,4750041.398,,,,8396269.5,,,,7635839.7,,,,,7788266.1,,,,7686871.345,,,,8839587.991,,,,9597746.736,,,,,9205681.074,,,,8546913.981,,,,8632684.03,,,,8307841.112,,,,8128711.064,,,,,,,
IMF.STA:MFS_ODC(10.0.0),IND.ODCORP_L_F3_XBM_ODCS.XDC.Q,OBS_VALUE,India,"Liabilities, Securities other than Shares, Excluded From Broad Money (ODCS)",Domestic currency,Quarterly,Millions,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,2026-07-31T08:50:53.019918300Z,2026-07-31T08:50:53.117768700Z,,,Public (Unrestricted),,Public or Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,
IMF.STA:MFS_ODC(10.0.0),IND.ODCORP_L_F3_IBM_ODCS.XDC.Q,OBS_VALUE,India,"Liabilities, Securities other than Shares, Included In Broad Money (ODCS)",Domestic currency,Quarterly,Millions,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,2026-07-31T08:50:53.019918300Z,2026-07-31T08:50:53.117768700Z,,,Public (Unrestricted),,Public or Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,
IMF.STA:MFS_ODC(10.0.0),IND.ODCORP_L_F22_IBM_ODCS.XDC.Q,OBS_VALUE,India,"Liabilities, Transferable Deposits, Included In Broad Money (ODCS)",Domestic currency,Quarterly,Millions,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,2026-07-31T08:50:53.019918300Z,2026-07-31T08:50:53.117768700Z,,,Public (Unrestricted),,Public or Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11934538.01,,,,,13967414.25,,,,12281760.47,,,,13503145.14,,,,12470101.11,,,,,14837123.41,,,,12898482.38,,,,14231900.54,,,,13026000.61,,,,,16265123.64,,,,14032757.21,,,,15252270.15,,,,14739561.52,,,,,17376923.31,,,,15729738.31,,,,16969101.22,,,,16866281.77,,,,,19951201.09,,,,18874518.01,,,,19584976.39,,,,22060524.13,,,,,22129917.04,,,,20873403.8,,,,21209022.27,,,,23419356.69,,,,,23205975.45,,,,25902461.93,,,,23441314.51,,,,25804895.18,,,,,25868881.19,,,,27462367.61,,,,26409840.43,,,,27107128.2,,,,,28400226.69,,,,32153754.86,,,,30049007.73,,,,34226575.56,,,,38448793.1,,,,,,,
IMF.STA:MFS_ODC(10.0.0),IND.ODCORP_A_F2MSOTS_RR_ACO_S121_ODCS.XDC.A,OBS_VALUE,India,"Assets, Deposits and securities other than shares, Required reserves, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,2026-07-31T08:50:53.019918300Z,2026-07-31T08:50:53.117768700Z,,,Public (Unrestricted),,Public or Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4622670,,,,,,,,,,,,,,,,,4790590,,,,,,,,,,,,,,,,,5155630,,,,,,,,,,,,,,,,,6037020,,,,,,,,,,,,,,,,,5221760,,,,,,,,,,,,,,,,,7648284.6,,,,,,,,,,,,,,,,,8997771,,,,,,,,,,,,,,,,,10012806.9,,,,,,,,,,,,,,,,,10002595.3,,,,,,,,,,,,,,,,,7606143.6,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:MFS_ODC(10.0.0),IND.ODCORP_A_ACO_PS_ODCS.XDC.A,OBS_VALUE,India,"Assets, Claims on Private sector (ODCS)",Domestic currency,Annual,Millions,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,2026-07-31T08:50:53.019918300Z,2026-07-31T08:50:53.117768700Z,,,Public (Unrestricted),,Public or Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58801794.81,,,,,,,,,,,,,,,,,65233911.69,,,,,,,,,,,,,,,,,73515033.34,,,,,,,,,,,,,,,,,77877187.39,,,,,,,,,,,,,,,,,80978474.23,,,,,,,,,,,,,,,,,87055731.51,,,,,,,,,,,,,,,,,99732708.52,,,,,,,,,,,,,,,,,118527018.7,,,,,,,,,,,,,,,,,132343752.3,,,,,,,,,,,,,,,,,152094169.9,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:MFS_ODC(10.0.0),IND.ODCORP_A_ACO_S1311MIXED_ODCS.XDC.A,OBS_VALUE,India,"Assets, Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,2026-07-31T08:50:53.019918300Z,2026-07-31T08:50:53.117768700Z,,,Public (Unrestricted),,Public or Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31048762.29,,,,,,,,,,,,,,,,,27878922.5,,,,,,,,,,,,,,,,,27680752.55,,,,,,,,,,,,,,,,,31115005.32,,,,,,,,,,,,,,,,,35628093.66,,,,,,,,,,,,,,,,,36172107.22,,,,,,,,,,,,,,,,,40748486.31,,,,,,,,,,,,,,,,,47197868.86,,,,,,,,,,,,,,,,,51647494.12,,,,,,,,,,,,,,,,,53881553.04,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:MFS_ODC(10.0.0),IND.ODCORP_A_ACO_S121_ODCS.XDC.A,OBS_VALUE,India,"Assets, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,2026-07-31T08:50:53.019918300Z,2026-07-31T08:50:53.117768700Z,,,Public (Unrestricted),,Public or Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7501634.646,,,,,,,,,,,,,,,,,6467863.078,,,,,,,,,,,,,,,,,6224050.194,,,,,,,,,,,,,,,,,9303785.895,,,,,,,,,,,,,,,,,11944707.17,,,,,,,,,,,,,,,,,16809006.77,,,,,,,,,,,,,,,,,11603222.68,,,,,,,,,,,,,,,,,11991003.63,,,,,,,,,,,,,,,,,11656594.32,,,,,,,,,,,,,,,,,10625894.3,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:MFS_ODC(10.0.0),IND.ODCORP_A_ACO_S12R_ODCS.XDC.A,OBS_VALUE,India,"Assets, Claims on Other financial corporations (ODCS)",Domestic currency,Annual,Millions,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,2026-07-31T08:50:53.019918300Z,2026-07-31T08:50:53.117768700Z,,,Public (Unrestricted),,Public or Unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5410861.649,,,,,,,,,,,,,,,,,6399374.428,,,,,,,,,,,,,,,,,8932280.165,,,,,,,,,,,,,,,,,10864890.42,,,,,,,,,,,,,,,,,12231237.96,,,,,,,,,,,,,,,,,13938129.59,,,,,,,,,,,,,,,,,19764161.46,,,,,,,,,,,,,,,,,18907322.16,,,,,,,,,,,,,,,,,19747613.79,,,,,,,,,,,,,,,,,22332437.22,,,,,,,,,,,,,,,,,,,,,,,,
